<<<<<<< HEAD
date,/m/0m7pl
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,20
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,20
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,18
2020-03-18,19
2020-03-19,40
2020-03-20,87
2020-03-21,100
2020-03-22,43
2020-03-23,77
2020-03-24,28
2020-03-25,47
2020-03-26,37
2020-03-27,27
2020-03-28,0
2020-03-29,21
2020-03-30,36
2020-03-31,36
2020-04-01,18
2020-04-02,18
2020-04-03,19
2020-04-04,22
2020-04-05,22
2020-04-06,36
2020-04-07,37
2020-04-08,0
2020-04-09,20
2020-04-10,0
2020-04-11,21
2020-04-12,21
2020-04-13,0
2020-04-14,0
2020-04-15,0
2020-04-16,0
2020-04-17,0
2020-04-18,0
2020-04-19,0
2020-04-20,0
2020-04-21,18
2020-04-22,0
2020-04-23,18
2020-04-24,19
2020-04-25,0
2020-04-26,20
2020-04-27,0
2020-04-28,0
2020-04-29,0
2020-04-30,0
2020-05-01,0
2020-05-02,0
2020-05-03,21
2020-05-04,18
2020-05-05,0
2020-05-06,0
2020-05-07,0
2020-05-08,0
2020-05-09,0
2020-05-10,0
2020-05-11,17
2020-05-12,18
2020-05-13,0
2020-05-14,0
2020-05-15,0
2020-05-16,0
2020-05-17,0
2020-05-18,19
2020-05-19,0
2020-05-20,0
2020-05-21,22
2020-05-22,0
2020-05-23,0
2020-05-24,0
2020-05-25,19
2020-05-26,0
2020-05-27,0
2020-05-28,19
2020-05-29,0
2020-05-30,23
2020-05-31,23
2020-06-01,19
2020-06-02,0
2020-06-03,0
2020-06-04,0
2020-06-05,0
2020-06-06,0
2020-06-07,0
2020-06-08,0
2020-06-09,0
2020-06-10,0
2020-06-11,0
2020-06-12,0
2020-06-13,0
2020-06-14,0
2020-06-15,0
2020-06-16,0
2020-06-17,20
2020-06-18,0
2020-06-19,0
2020-06-20,0
2020-06-21,0
2020-06-22,0
2020-06-23,0
2020-06-24,23
2020-06-25,0
2020-06-26,0
2020-06-27,0
2020-06-28,0
2020-06-29,0
2020-06-30,0
2020-07-01,0
2020-07-02,0
2020-07-03,24
2020-07-04,0
2020-07-05,0
2020-07-06,0
2020-07-07,0
2020-07-08,0
2020-07-09,0
2020-07-10,0
2020-07-11,0
2020-07-12,0
2020-07-13,0
2020-07-14,0
2020-07-15,0
2020-07-16,0
2020-07-17,25
2020-07-18,0
2020-07-19,0
2020-07-20,0
2020-07-21,0
2020-07-22,0
2020-07-23,0
2020-07-24,0
2020-07-25,0
2020-07-26,0
2020-07-27,0
2020-07-28,24
2020-07-29,0
2020-07-30,0
2020-07-31,0
2020-08-01,0
2020-08-02,0
2020-08-03,0
2020-08-04,0
2020-08-05,0
2020-08-06,25
2020-08-07,0
2020-08-08,30
2020-08-09,0
2020-08-10,0
2020-08-11,0
2020-08-12,0
2020-08-13,0
2020-08-14,0
2020-08-15,0
2020-08-16,0
2020-08-17,0
2020-08-18,0
2020-08-19,0
2020-08-20,0
2020-08-21,0
2020-08-22,0
2020-08-23,0
2020-08-24,0
2020-08-25,0
2020-08-26,0
2020-08-27,0
2020-08-28,23
2020-08-29,0
2020-08-30,0
2020-08-31,0
2020-09-01,0
2020-09-02,0
2020-09-03,25
2020-09-04,0
2020-09-05,27
2020-09-06,0
2020-09-07,24
2020-09-08,0
2020-09-09,34
2020-09-10,0
2020-09-11,25
2020-09-12,0
2020-09-13,0
2020-09-14,23
2020-09-15,0
2020-09-16,23
2020-09-17,48
2020-09-18,0
2020-09-19,0
2020-09-20,50
2020-09-21,22
2020-09-22,23
2020-09-23,23
2020-09-24,0
2020-09-25,0
2020-09-26,0
2020-09-27,25
2020-09-28,0
2020-09-29,0
2020-09-30,0
2020-10-01,0
2020-10-02,72
2020-10-03,0
2020-10-04,25
2020-10-05,0
2020-10-06,24
2020-10-07,35
2020-10-08,0
2020-10-09,0
2020-10-10,57
2020-10-11,0
2020-10-12,26
2020-10-13,0
