date,/g/11j8_9sv06
2020-02-01,0.0
2020-02-02,0.0
2020-02-03,0.0
2020-02-04,0.0
2020-02-05,0.0
2020-02-06,0.0
2020-02-07,0.0
2020-02-08,0.0
2020-02-09,0.0
2020-02-10,0.0
2020-02-11,0.0
2020-02-12,0.0
2020-02-13,0.0
2020-02-14,0.0
2020-02-15,0.0
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,4.05369738691091
2020-02-25,0.0
2020-02-26,1.9303320890051956
2020-02-27,1.9303320890051956
2020-02-28,2.123365297905715
2020-02-29,0.0
2020-03-01,0.0
2020-03-02,1.9303320890051956
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,0.0
2020-03-11,0.0
2020-03-12,1.9303320890051956
2020-03-13,0.0
2020-03-14,2.123365297905715
2020-03-15,1.9303320890051956
2020-03-16,0.0
2020-03-17,9.651660445025977
2020-03-18,1.8338154845549355
2020-03-19,0.0
2020-03-20,1.737298880104676
2020-03-21,3.957180782460651
2020-03-22,1.9303320890051956
2020-03-23,0.0
2020-03-24,1.640782275654416
2020-03-25,1.640782275654416
2020-03-26,0.0
2020-03-27,0.0
2020-03-28,1.9303320890051956
2020-03-29,1.8338154845549355
2020-03-30,1.5442656712041565
2020-03-31,0.0
2020-04-01,0.0
2020-04-02,0.0
2020-04-03,0.0
2020-04-04,0.0
2020-04-05,0.0
2020-04-06,0.0
2020-04-07,0.0
2020-04-08,0.0
2020-04-09,0.0
2020-04-10,0.0
2020-04-11,0.0
2020-04-12,0.0
2020-04-13,1.737298880104676
2020-04-14,0.0
2020-04-15,5.115380035863768
2020-04-16,5.018863431413508
2020-04-17,1.640782275654416
2020-04-18,0.0
2020-04-19,1.737298880104676
2020-04-20,0.0
2020-04-21,1.640782275654416
2020-04-22,1.737298880104676
2020-04-23,0.0
2020-04-24,0.0
2020-04-25,1.9303320890051956
2020-04-26,0.0
2020-04-27,0.0
2020-04-28,0.0
2020-04-29,1.5442656712041565
2020-04-30,0.0
2020-05-01,0.0
2020-05-02,1.640782275654416
2020-05-03,1.8338154845549355
2020-05-04,1.640782275654416
2020-05-05,0.0
2020-05-06,1.640782275654416
2020-05-07,0.0
2020-05-08,0.0
2020-05-09,1.737298880104676
2020-05-10,0.0
2020-05-11,0.0
2020-05-12,0.0
2020-05-13,0.0
2020-05-14,5.308413244764288
2020-05-15,0.0
2020-05-16,2.3163985068062347
2020-05-17,4.632797013612469
2020-05-18,0.0
2020-05-19,1.8338154845549355
2020-05-20,0.0
2020-05-21,0.0
2020-05-22,0.0
2020-05-23,0.0
2020-05-24,0.0
2020-05-25,0.0
2020-05-26,0.0
2020-05-27,0.0
2020-05-28,0.0
2020-05-29,0.0
2020-05-30,0.0
2020-05-31,0.0
2020-06-01,0.0
2020-06-02,0.0
2020-06-03,0.0
2020-06-04,0.0
2020-06-05,0.0
2020-06-06,2.026848693455455
2020-06-07,2.123365297905715
2020-06-08,0.0
2020-06-09,0.0
2020-06-10,0.0
2020-06-11,0.0
2020-06-12,0.0
2020-06-13,0.0
2020-06-14,1.9303320890051956
2020-06-15,0.0
2020-06-16,1.640782275654416
2020-06-17,1.8338154845549355
2020-06-18,0.0
2020-06-19,1.9303320890051956
2020-06-20,0.0
2020-06-21,0.0
2020-06-22,0.0
2020-06-23,0.0
2020-06-24,0.0
2020-06-25,0.0
2020-06-26,0.0
2020-06-27,0.0
2020-06-28,0.0
2020-06-29,1.8338154845549355
2020-06-30,0.0
2020-07-01,0.0
2020-07-02,0.0
2020-07-03,2.026848693455455
2020-07-04,0.0
2020-07-05,0.0
2020-07-06,0.0
2020-07-07,0.0
2020-07-08,2.026848693455455
2020-07-09,0.0
2020-07-10,1.9303320890051956
2020-07-11,0.0
2020-07-12,0.0
2020-07-13,1.9303320890051956
2020-07-14,0.0
2020-07-15,1.8338154845549355
2020-07-16,0.0
2020-07-17,2.026848693455455
2020-07-18,0.0
