date,/m/0hn9s
2020-02-01,0.0
2020-02-02,0.0
2020-02-03,0.0
2020-02-04,0.0
2020-02-05,0.0
2020-02-06,0.0
2020-02-07,32.5
2020-02-08,0.0
2020-02-09,17.0625
2020-02-10,0.0
2020-02-11,0.0
2020-02-12,0.0
2020-02-13,0.0
2020-02-14,0.0
2020-02-15,0.0
2020-02-16,0.0
2020-02-17,15.4375
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,16.25
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,15.4375
2020-02-29,0.0
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,14.625
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,16.25
2020-03-09,0.0
2020-03-10,13.8125
2020-03-11,27.625
2020-03-12,65.0
2020-03-13,39.0
2020-03-14,31.6875
2020-03-15,0.0
2020-03-16,27.625
2020-03-17,81.25
2020-03-18,43.0625
2020-03-19,28.4375
2020-03-20,14.625
2020-03-21,50.375
2020-03-22,66.625
2020-03-23,26.0
2020-03-24,43.0625
2020-03-25,14.625
2020-03-26,0.0
2020-03-27,13.0
2020-03-28,45.5
2020-03-29,29.25
2020-03-30,13.0
2020-03-31,26.0
2020-04-01,0.0
2020-04-02,0.0
2020-04-03,13.8125
2020-04-04,30.875
2020-04-05,0.0
2020-04-06,13.0
2020-04-07,13.8125
2020-04-08,0.0
2020-04-09,0.0
2020-04-10,0.0
2020-04-11,0.0
2020-04-12,16.25
2020-04-13,13.8125
2020-04-14,14.625
2020-04-15,0.0
2020-04-16,14.625
2020-04-17,32.5
2020-04-18,0.0
2020-04-19,34.9375
2020-04-20,0.0
2020-04-21,0.0
2020-04-22,29.25
2020-04-23,14.625
2020-04-24,0.0
2020-04-25,15.4375
2020-04-26,0.0
2020-04-27,0.0
2020-04-28,0.0
2020-04-29,0.0
2020-04-30,13.8125
2020-05-01,0.0
2020-05-02,15.4375
2020-05-03,0.0
2020-05-04,14.625
2020-05-05,13.0
2020-05-06,0.0
2020-05-07,0.0
2020-05-08,0.0
2020-05-09,0.0
2020-05-10,0.0
2020-05-11,0.0
2020-05-12,0.0
2020-05-13,0.0
2020-05-14,0.0
2020-05-15,0.0
2020-05-16,17.0625
2020-05-17,0.0
2020-05-18,0.0
2020-05-19,15.4375
2020-05-20,0.0
2020-05-21,0.0
2020-05-22,0.0
2020-05-23,0.0
2020-05-24,0.0
2020-05-25,0.0
2020-05-26,0.0
2020-05-27,0.0
2020-05-28,0.0
2020-05-29,0.0
2020-05-30,18.6875
2020-05-31,0.0
2020-06-01,0.0
2020-06-02,0.0
2020-06-03,0.0
2020-06-04,0.0
2020-06-05,0.0
2020-06-06,0.0
2020-06-07,0.0
2020-06-08,0.0
2020-06-09,0.0
2020-06-10,0.0
2020-06-11,0.0
2020-06-12,0.0
2020-06-13,0.0
2020-06-14,0.0
2020-06-15,14.625
2020-06-16,0.0
2020-06-17,0.0
2020-06-18,0.0
2020-06-19,0.0
2020-06-20,0.0
2020-06-21,0.0
2020-06-22,0.0
2020-06-23,0.0
2020-06-24,0.0
2020-06-25,0.0
2020-06-26,0.0
2020-06-27,0.0
2020-06-28,0.0
2020-06-29,0.0
2020-06-30,0.0
2020-07-01,14.625
2020-07-02,0.0
2020-07-03,0.0
2020-07-04,0.0
2020-07-05,0.0
2020-07-06,72.3125
2020-07-07,30.0625
2020-07-08,0.0
2020-07-09,15.4375
2020-07-10,0.0
2020-07-11,0.0
2020-07-12,0.0
2020-07-13,0.0
2020-07-14,0.0
2020-07-15,0.0
2020-07-16,0.0
2020-07-17,30.875
2020-07-18,0.0
2020-07-19,0.0
2020-07-20,0.0
2020-07-21,0.0
2020-07-22,0.0
2020-07-23,0.0
2020-07-24,0.0
2020-07-25,0.0
2020-07-26,0.0
2020-07-27,0.0
2020-07-28,0.0
2020-07-29,0.0
2020-07-30,0.0
2020-07-31,0.0
2020-08-01,0.0
2020-08-02,0.0
2020-08-03,0.0
2020-08-04,0.0
2020-08-05,14.625
2020-08-06,0.0
