date,/m/05w_j
2020-02-01,0.0
2020-02-02,0.0
2020-02-03,0.0
2020-02-04,2.679401575094567
2020-02-05,0.0
2020-02-06,0.0
2020-02-07,0.0
2020-02-08,0.0
2020-02-09,0.0
2020-02-10,0.0
2020-02-11,0.0
2020-02-12,0.0
2020-02-13,2.679401575094567
2020-02-14,0.0
2020-02-15,0.0
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,2.679401575094567
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,2.679401575094567
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,5.358803150189134
2020-03-11,2.679401575094567
2020-03-12,2.679401575094567
2020-03-13,0.0
2020-03-14,0.0
2020-03-15,2.679401575094567
2020-03-16,0.0
2020-03-17,0.0
2020-03-18,2.679401575094567
2020-03-19,0.0
2020-03-20,8.0382047252837
2020-03-21,0.0
2020-03-22,0.0
2020-03-23,4.6889527564154925
2020-03-24,2.679401575094567
2020-03-25,2.679401575094567
2020-03-26,0.0
2020-03-27,5.358803150189134
2020-03-28,0.0
2020-03-29,8.708055119057342
2020-03-30,2.679401575094567
2020-03-31,0.0
2020-04-01,2.679401575094567
2020-04-02,0.0
2020-04-03,2.679401575094567
2020-04-04,0.0
2020-04-05,2.679401575094567
2020-04-06,0.0
2020-04-07,2.679401575094567
2020-04-08,0.0
2020-04-09,0.0
2020-04-10,0.0
2020-04-11,3.3492519688682085
2020-04-12,3.3492519688682085
2020-04-13,2.679401575094567
2020-04-14,0.0
2020-04-15,0.0
2020-04-16,2.679401575094567
2020-04-17,5.358803150189134
2020-04-18,0.0
2020-04-19,2.679401575094567
2020-04-20,0.0
2020-04-21,2.679401575094567
2020-04-22,2.679401575094567
2020-04-23,2.679401575094567
2020-04-24,0.0
2020-04-25,3.3492519688682085
2020-04-26,2.679401575094567
2020-04-27,0.0
2020-04-28,5.358803150189134
2020-04-29,2.679401575094567
2020-04-30,8.0382047252837
2020-05-01,2.679401575094567
2020-05-02,3.3492519688682085
2020-05-03,2.679401575094567
2020-05-04,2.679401575094567
2020-05-05,0.0
2020-05-06,2.679401575094567
2020-05-07,2.679401575094567
2020-05-08,0.0
2020-05-09,0.0
2020-05-10,0.0
2020-05-11,0.0
2020-05-12,0.0
2020-05-13,0.0
2020-05-14,0.0
2020-05-15,0.0
2020-05-16,0.0
2020-05-17,0.0
2020-05-18,2.679401575094567
2020-05-19,10.717606300378268
2020-05-20,8.0382047252837
2020-05-21,0.0
2020-05-22,2.679401575094567
2020-05-23,0.0
2020-05-24,0.0
2020-05-25,2.679401575094567
2020-05-26,0.0
2020-05-27,0.0
2020-05-28,2.679401575094567
2020-05-29,2.679401575094567
2020-05-30,3.3492519688682085
2020-05-31,2.679401575094567
2020-06-01,0.0
2020-06-02,0.0
2020-06-03,0.0
2020-06-04,2.679401575094567
2020-06-05,0.0
2020-06-06,0.0
2020-06-07,0.0
2020-06-08,4.6889527564154925
2020-06-09,0.0
2020-06-10,2.679401575094567
2020-06-11,0.0
2020-06-12,0.0
2020-06-13,0.0
2020-06-14,0.0
2020-06-15,2.679401575094567
2020-06-16,0.0
2020-06-17,2.679401575094567
2020-06-18,2.679401575094567
2020-06-19,0.0
2020-06-20,0.0
2020-06-21,0.0
2020-06-22,0.0
2020-06-23,0.0
2020-06-24,0.0
2020-06-25,0.0
2020-06-26,2.679401575094567
2020-06-27,0.0
2020-06-28,0.0
2020-06-29,2.679401575094567
2020-06-30,0.0
2020-07-01,6.0286535439627755
2020-07-02,6.0286535439627755
2020-07-03,0.0
2020-07-04,4.01910236264185
2020-07-05,0.0
2020-07-06,2.679401575094567
2020-07-07,0.0
2020-07-08,0.0
2020-07-09,3.3492519688682085
2020-07-10,0.0
2020-07-11,0.0
2020-07-12,0.0
2020-07-13,2.679401575094567
2020-07-14,0.0
