date,/m/0b76bty
2020-02-01,42.0
2020-02-02,0.0
2020-02-03,0.0
2020-02-04,20.0
2020-02-05,20.0
2020-02-06,21.0
2020-02-07,0.0
2020-02-08,0.0
2020-02-09,43.0
2020-02-10,20.0
2020-02-11,0.0
2020-02-12,0.0
2020-02-13,0.0
2020-02-14,0.0
2020-02-15,0.0
2020-02-16,41.0
2020-02-17,76.0
2020-02-18,0.0
2020-02-19,20.0
2020-02-20,21.0
2020-02-21,0.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,36.0
2020-02-28,39.0
2020-02-29,19.0
2020-03-01,19.0
2020-03-02,18.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,21.0
2020-03-09,18.0
2020-03-10,18.0
2020-03-11,0.0
2020-03-12,0.0
2020-03-13,77.0
2020-03-14,100.0
2020-03-15,51.0
2020-03-16,62.0
2020-03-17,32.0
2020-03-18,52.0
2020-03-19,52.0
2020-03-20,17.0
2020-03-21,38.0
2020-03-22,19.0
2020-03-23,58.0
2020-03-24,0.0
2020-03-25,0.0
2020-03-26,32.0
2020-03-27,31.0
2020-03-28,37.0
2020-03-29,36.0
2020-03-30,16.0
2020-03-31,0.0
2020-04-01,0.0
2020-04-02,0.0
2020-04-03,16.0
2020-04-04,19.0
2020-04-05,37.0
2020-04-06,16.0
2020-04-07,32.0
2020-04-08,16.0
2020-04-09,17.0
2020-04-10,34.0
2020-04-11,18.0
2020-04-12,0.0
2020-04-13,34.0
2020-04-14,0.0
2020-04-15,0.0
2020-04-16,0.0
2020-04-17,0.0
2020-04-18,17.0
2020-04-19,0.0
2020-04-20,0.0
2020-04-21,0.0
2020-04-22,15.0
2020-04-23,0.0
2020-04-24,0.0
2020-04-25,18.0
2020-04-26,0.0
2020-04-27,0.0
2020-04-28,0.0
2020-04-29,16.0
2020-04-30,44.0
2020-05-01,33.0
2020-05-02,17.0
2020-05-03,18.0
2020-05-04,0.0
2020-05-05,0.0
2020-05-06,0.0
2020-05-07,0.0
2020-05-08,0.0
2020-05-09,0.0
2020-05-10,0.0
2020-05-11,0.0
2020-05-12,0.0
2020-05-13,0.0
2020-05-14,0.0
2020-05-15,17.0
2020-05-16,0.0
2020-05-17,0.0
2020-05-18,0.0
2020-05-19,0.0
2020-05-20,0.0
2020-05-21,0.0
2020-05-22,0.0
2020-05-23,0.0
2020-05-24,0.0
2020-05-25,0.0
2020-05-26,0.0
2020-05-27,0.0
2020-05-28,17.0
2020-05-29,0.0
2020-05-30,0.0
2020-05-31,0.0
2020-06-01,0.0
2020-06-02,0.0
2020-06-03,15.0
2020-06-04,0.0
2020-06-05,17.0
2020-06-06,0.0
2020-06-07,0.0
2020-06-08,15.0
2020-06-09,0.0
2020-06-10,0.0
2020-06-11,0.0
2020-06-12,17.0
2020-06-13,0.0
2020-06-14,20.0
2020-06-15,0.0
2020-06-16,0.0
2020-06-17,0.0
2020-06-18,0.0
2020-06-19,34.0
2020-06-20,0.0
2020-06-21,19.0
2020-06-22,16.0
2020-06-23,16.0
2020-06-24,0.0
2020-06-25,17.0
2020-06-26,0.0
2020-06-27,19.0
2020-06-28,0.0
2020-06-29,0.0
2020-06-30,16.0
2020-07-01,16.0
2020-07-02,0.0
2020-07-03,0.0
2020-07-04,0.0
2020-07-05,18.0
2020-07-06,0.0
2020-07-07,16.0
2020-07-08,17.0
