date,/m/07mf1
2020-05-18,11.030489724062233
2020-05-19,7.353659816041489
2020-05-20,14.707319632082978
2020-05-21,3.6768299080207445
2020-05-22,15.442685613687127
2020-05-23,10.295123742458085
2020-05-24,10.295123742458085
2020-05-25,13.971953650478829
2020-05-26,11.030489724062233
2020-05-27,14.707319632082978
2020-05-28,14.707319632082978
2020-05-29,3.6768299080207445
2020-05-30,9.559757760853936
2020-05-31,4.412195889624893
2020-06-01,10.295123742458085
2020-06-02,21.325613466520316
2020-06-03,9.559757760853936
2020-06-04,12.501221687270531
2020-06-05,14.707319632082978
2020-06-06,9.559757760853936
2020-06-07,0.0
2020-06-08,6.61829383443734
2020-06-09,13.971953650478829
2020-06-10,12.501221687270531
2020-06-11,8.089025797645638
2020-06-12,14.707319632082978
2020-06-13,23.531711411332765
2020-06-14,19.11951552170787
2020-06-15,7.353659816041489
2020-06-16,3.6768299080207445
2020-06-17,3.6768299080207445
2020-06-18,3.6768299080207445
2020-06-19,3.6768299080207445
2020-06-20,0.0
2020-06-21,13.971953650478829
2020-06-22,18.38414954010372
2020-06-23,3.6768299080207445
2020-06-24,22.796345429728614
2020-06-25,18.38414954010372
2020-06-26,15.442685613687127
2020-06-27,4.412195889624893
2020-06-28,9.559757760853936
2020-06-29,11.030489724062233
2020-06-30,11.030489724062233
2020-07-01,3.6768299080207445
2020-07-02,7.353659816041489
2020-07-03,8.089025797645638
2020-07-04,0.0
2020-07-05,9.559757760853936
2020-07-06,22.796345429728614
2020-07-07,11.765855705666382
2020-07-08,8.089025797645638
2020-07-09,8.089025797645638
2020-07-10,12.501221687270531
2020-07-11,5.147561871229042
2020-07-12,5.147561871229042
2020-07-13,16.178051595291276
2020-07-14,3.6768299080207445
2020-07-15,22.796345429728614
2020-07-16,25.002443374541063
2020-07-17,38.97439702501989
2020-07-18,20.59024748491617
2020-07-19,0.0
2020-07-20,3.6768299080207445
2020-07-21,0.0
2020-07-22,4.412195889624893
2020-07-23,8.089025797645638
2020-07-24,0.0
2020-07-25,0.0
2020-07-26,14.707319632082978
2020-07-27,8.089025797645638
2020-07-28,12.501221687270531
2020-07-29,16.178051595291276
2020-07-30,4.412195889624893
2020-07-31,8.824391779249787
2020-08-01,9.559757760853936
2020-08-02,19.85488150331202
2020-08-03,16.178051595291276
2020-08-04,11.765855705666382
2020-08-05,12.501221687270531
2020-08-06,0.0
2020-08-07,12.501221687270531
2020-08-08,5.147561871229042
2020-08-09,14.707319632082978
2020-08-10,8.089025797645638
2020-08-11,11.765855705666382
2020-08-12,3.6768299080207445
2020-08-13,4.412195889624893
2020-08-14,8.089025797645638
2020-08-15,29.414639264165956
2020-08-16,0.0
2020-08-17,19.85488150331202
2020-08-18,11.765855705666382
2020-08-19,0.0
2020-08-20,3.6768299080207445
2020-08-21,4.412195889624893
2020-08-22,5.147561871229042
2020-08-23,5.147561871229042
2020-08-24,20.59024748491617
2020-08-25,4.412195889624893
2020-08-26,12.501221687270531
2020-08-27,12.501221687270531
2020-08-28,4.412195889624893
2020-08-29,0.0
2020-08-30,0.0
2020-08-31,12.501221687270531
2020-09-01,11.765855705666382
2020-09-02,3.6768299080207445
2020-09-03,8.089025797645638
2020-09-04,12.501221687270531
2020-09-05,19.85488150331202
2020-09-06,14.707319632082978
2020-09-07,23.531711411332765
2020-09-08,15.442685613687127
2020-09-09,11.765855705666382
2020-09-10,8.089025797645638
2020-09-11,37.503665061811596
2020-09-12,5.147561871229042
2020-09-13,33.0914691721867
2020-09-14,11.765855705666382
2020-09-15,15.442685613687127
2020-09-16,24.267077392936912
2020-09-17,11.765855705666382
2020-09-18,23.531711411332765
2020-09-19,13.971953650478829
2020-09-20,27.943907300957658
2020-09-21,19.85488150331202
2020-09-22,7.353659816041489
2020-09-23,23.531711411332765
2020-09-24,19.85488150331202
2020-09-25,8.089025797645638
2020-09-26,13.971953650478829
2020-09-27,9.559757760853936
2020-09-28,24.0
2020-09-29,25.0
2020-09-30,6.0
2020-10-01,24.0
2020-10-02,37.0
2020-10-03,7.0
2020-10-04,7.0
2020-10-05,48.0
2020-10-06,30.0
2020-10-07,19.0
2020-10-08,19.0
2020-10-09,20.0
2020-10-10,23.0
2020-10-11,38.0
2020-10-12,32.0
2020-10-13,25.0
2020-10-14,13.0
2020-10-15,13.0
2020-10-16,62.0
2020-10-17,37.0
2020-10-18,29.0
2020-10-19,24.0
2020-10-20,24.0
2020-10-21,37.0
2020-10-22,6.0
2020-10-23,40.0
2020-10-24,22.0
2020-10-25,0.0
2020-10-26,19.0
2020-10-27,13.0
2020-10-28,0.0
2020-10-29,25.0
2020-10-30,33.0
2020-10-31,7.0
2020-11-01,7.0
2020-11-02,12.0
2020-11-03,31.0
2020-11-04,17.0
2020-11-05,28.0
2020-11-06,23.0
2020-11-07,34.0
2020-11-08,53.0
2020-11-09,100.0
2020-11-10,32.0
2020-11-11,51.0
2020-11-12,51.0
2020-11-13,20.0
2020-11-14,35.0
2020-11-15,7.0
2020-11-16,31.0
2020-11-17,25.0
2020-11-18,19.0
2020-11-19,0.0
2020-11-20,7.0
2020-11-21,14.0
2020-11-22,14.0
2020-11-23,19.0
2020-11-24,25.0
2020-11-25,18.0
2020-11-26,24.0
2020-11-27,39.0
2020-11-28,13.0
2020-11-29,13.0
2020-11-30,6.0
2020-12-01,7.0
2020-12-02,6.0
2020-12-03,13.0
2020-12-04,19.0
2020-12-05,0.0
2020-12-06,19.0
2020-12-07,12.0
2020-12-08,6.0
2020-12-09,12.0
2020-12-10,12.0
2020-12-11,19.0
2020-12-12,14.0
2020-12-13,0.0
2020-12-14,12.0
2020-12-15,25.0
2020-12-16,12.0
2020-12-17,7.0
2020-12-18,14.0
2020-12-19,22.0
2020-12-20,14.0
2020-12-21,7.0
2020-12-22,7.0
2020-12-23,21.0
2020-12-24,18.0
2020-12-25,0.0
2020-12-26,15.0
2020-12-27,14.0
2020-12-28,6.0
2020-12-29,13.0
2020-12-30,27.0
2020-12-31,31.0
2021-01-01,38.0
2021-01-02,7.0
2021-01-03,27.0
2021-01-04,24.0
2021-01-05,19.0
2021-01-06,32.0
2021-01-07,19.0
2021-01-08,19.0
2021-01-09,21.0
2021-01-10,0.0
2021-01-11,13.0
2021-01-12,19.0
2021-01-13,38.0
2021-01-14,20.0
2021-01-15,26.0
2021-01-16,15.0
2021-01-17,7.0
2021-01-18,44.0
2021-01-19,30.0
2021-01-20,41.0
2021-01-21,12.0
2021-01-22,19.0
2021-01-23,20.0
2021-01-24,20.0
2021-01-25,17.0
2021-01-26,12.0
2021-01-27,18.0
2021-01-28,6.0
2021-01-29,12.0
2021-01-30,40.0
2021-01-31,0.0
2021-02-01,11.0
2021-02-02,0.0
2021-02-03,6.0
2021-02-04,0.0
2021-02-05,0.0
2021-02-06,0.0
2021-02-07,7.0
2021-02-08,0.0
2021-02-09,34.0
2021-02-10,17.0
2021-02-11,11.0
2021-02-12,25.0
2021-02-13,0.0
2021-02-14,7.0
2021-02-15,6.0
2021-02-16,12.0
2021-02-17,17.0
2021-02-18,23.0
2021-02-19,24.0
2021-02-20,19.0
2021-02-21,20.0
2021-02-22,6.0
2021-02-23,12.0
2021-02-24,6.0
2021-02-25,0.0
2021-02-26,6.0
2021-02-27,14.0
2021-02-28,0.0
2021-03-01,11.0
2021-03-02,12.0
2021-03-03,12.0
2021-03-04,6.0
2021-03-05,6.0
2021-03-06,0.0
2021-03-07,7.0
2021-03-08,0.0
2021-03-09,6.0
2021-03-10,6.0
2021-03-11,12.0
2021-03-12,6.0
2021-03-13,0.0
2021-03-14,7.0
2021-03-15,23.0
2021-03-16,32.0
2021-03-17,12.0
2021-03-18,0.0
2021-03-19,13.0
2021-03-20,0.0
2021-03-21,0.0
2021-03-22,6.0
2021-03-23,31.0
2021-03-24,6.0
2021-03-25,0.0
2021-03-26,13.0
2021-03-27,15.0
2021-03-28,0.0
2021-03-29,19.0
2021-03-30,13.0
2021-03-31,13.0
2021-04-01,0.0
2021-04-02,14.0
2021-04-03,15.0
2021-04-04,15.0
2021-04-05,6.0
2021-04-06,12.0
2021-04-07,0.0
2021-04-08,19.0
2021-04-09,6.0
2021-04-10,7.0
2021-04-11,22.0
2021-04-12,6.0
2021-04-13,6.0
2021-04-14,6.0
2021-04-15,6.0
2021-04-16,7.0
2021-04-17,0.0
2021-04-18,15.0
2021-04-19,6.0
2021-04-20,12.0
2021-04-21,18.0
2021-04-22,12.0
2021-04-23,6.0
2021-04-24,28.0
2021-04-25,7.0
2021-04-26,6.0
2021-04-27,6.0
2021-04-28,0.0
2021-04-29,19.0
2021-04-30,0.0
2021-05-01,0.0
2021-05-02,0.0
2021-05-03,13.0
2021-05-04,0.0
2021-05-05,0.0
2021-05-06,18.0
2021-05-07,0.0
2021-05-08,0.0
2021-05-09,7.0
2021-05-10,6.0
2021-05-11,6.0
2021-05-12,19.0
2021-05-13,0.0
2021-05-14,7.0
2021-05-15,7.783467163299644
2021-05-16,9.55593988365501
