date,/m/01cpyy_0,/m/01cpyy_1,/m/01cpyy_2,/m/01cpyy_3,/m/01cpyy_4,/m/01cpyy_5,/m/01cpyy_6,/m/01cpyy_7,/m/01cpyy_8,/m/01cpyy_9,/m/01cpyy_10,/m/01cpyy_11,/m/01cpyy_12,/m/01cpyy_13,/m/01cpyy_14,/m/01cpyy_15,/m/01cpyy_16,/m/01cpyy_17,/m/01cpyy_18,/m/01cpyy_19,/m/01cpyy
2020-01-29,4.0,3.0,4.0,3.0,6.0,2.0,3.0,6.0,3.0,4.0,4.0,4.0,6.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.3
2020-01-30,5.0,5.0,5.0,6.0,4.0,5.0,6.0,4.0,7.0,5.0,4.0,4.0,7.0,6.0,3.0,5.0,4.0,3.0,3.0,6.0,4.85
2020-01-31,5.0,5.0,3.0,5.0,6.0,6.0,7.0,6.0,4.0,7.0,4.0,9.0,6.0,5.0,6.0,7.0,6.0,7.0,5.0,4.0,5.65
2020-02-01,4.0,2.0,4.0,5.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,5.0,3.0,3.0,5.0,3.0,3.65
2020-02-02,5.0,2.0,1.0,2.0,3.0,1.0,1.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,5.0,4.0,2.0,4.0,3.0,1.0,2.9
2020-02-03,3.0,3.0,2.0,1.0,3.0,1.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,2.0,2.2
2020-02-04,3.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,4.0,1.75
2020-02-05,2.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,4.0,2.0,3.0,1.0,2.0,1.0,2.0,3.0,3.0,0.0,1.9
2020-02-06,5.0,5.0,4.0,4.0,5.0,3.0,5.0,6.0,3.0,4.0,5.0,4.0,3.0,3.0,4.0,5.0,4.0,2.0,4.0,4.0,4.1
2020-02-07,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,1.55
2020-02-08,5.0,5.0,5.0,4.0,5.0,5.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,5.0,6.0,6.0,4.0,3.0,3.0,5.0,4.3
2020-02-09,5.0,2.0,5.0,2.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,5.0,2.0,5.0,4.0,3.0,4.0,3.0,4.0,3.75
2020-02-10,1.0,2.0,1.0,2.0,3.0,2.0,3.0,0.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,1.0,3.0,1.0,2.0,2.05
2020-02-11,4.0,3.0,6.0,2.0,2.0,4.0,4.0,5.0,6.0,3.0,7.0,5.0,4.0,4.0,3.0,4.0,5.0,3.0,3.0,5.0,4.1
2020-02-12,3.0,4.0,3.0,4.0,5.0,7.0,4.0,3.0,3.0,2.0,5.0,5.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,3.8
2020-02-13,2.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,2.0,2.0,3.0,4.0,2.0,3.0,3.0,3.0,5.0,3.2
2020-02-14,0.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,3.0,2.0
2020-02-15,0.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0,1.2
2020-02-16,2.0,4.0,3.0,2.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,2.9
2020-02-17,1.0,1.0,0.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.85
2020-02-18,4.0,2.0,4.0,1.0,1.0,3.0,3.0,2.0,2.0,3.0,1.0,3.0,4.0,2.0,3.0,1.0,1.0,3.0,4.0,3.0,2.5
