,/m/01c751_0,/m/01c751_1,/m/01c751_2,/m/01c751_3,/m/01c751_4,/m/01c751_5,/m/01c751_6,/m/01c751_7,/m/01c751_8,/m/01c751_9,/m/01c751_10,/m/01c751_11,/m/01c751_12,/m/01c751_13,/m/01c751_14,/m/01c751_15,/m/01c751_16,/m/01c751_17,/m/01c751_18,/m/01c751_19,/m/01c751
2020-10-05,0.0,0.0,25.0,0.0,0.0,0.0,0.0,34.065934065934066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.027210239208334
2020-10-06,0.0,0.0,0.0,22.0,41.0,0.0,0.0,34.065934065934066,0.0,0.0,0.0,30.0,31.0,26.0,0.0,0.0,0.0,0.0,22.0,0.0,14.049906308025054
2020-10-07,16.0,30.0,0.0,0.0,42.0,0.0,20.0,34.065934065934066,26.0,36.0,34.0,30.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,30.136986301369863,22.036494145547355
2020-10-08,0.0,0.0,26.0,0.0,21.0,0.0,0.0,0.0,27.0,0.0,0.0,31.0,0.0,26.0,26.0,70.0,26.0,23.0,0.0,30.136986301369863,20.87291135457237
2020-10-09,0.0,37.0,31.0,0.0,51.0,0.0,25.0,84.61538461538461,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.110083477563656
2020-10-10,0.0,0.0,0.0,28.0,0.0,0.0,26.0,42.857142857142854,34.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.35616438356164,14.128136053659322
2020-10-11,19.0,0.0,0.0,0.0,0.0,0.0,0.0,40.65934065934066,0.0,44.0,41.0,0.0,37.0,0.0,31.0,0.0,0.0,53.0,0.0,0.0,18.113080471230038
2020-10-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,84.0,0.0,35.0,36.0,0.0,0.0,0.0,30.0,26.0,26.0,0.0,18.272670383965178
2020-10-13,0.0,34.0,0.0,0.0,24.0,0.0,23.0,39.56043956043956,0.0,41.0,0.0,0.0,35.0,29.0,0.0,0.0,0.0,0.0,26.0,0.0,17.151794752736215
2020-10-14,17.0,0.0,28.0,49.0,23.0,30.0,22.0,37.362637362637365,0.0,40.0,0.0,0.0,0.0,0.0,0.0,38.0,28.0,0.0,0.0,32.87671232876713,23.538973285393755
2020-10-15,0.0,33.0,0.0,0.0,23.0,0.0,23.0,37.362637362637365,29.0,0.0,0.0,0.0,0.0,56.0,28.0,0.0,0.0,0.0,24.0,32.87671232876713,19.516258536685
2020-10-16,0.0,69.0,29.0,52.0,24.0,32.0,24.0,39.56043956043956,30.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.24657534246575,26.236760241635693
2020-10-17,19.0,0.0,0.0,27.0,0.0,67.0,25.0,41.75824175824176,0.0,0.0,41.0,0.0,37.0,0.0,31.0,0.0,31.0,53.0,27.0,0.0,27.256158898962
2020-10-18,0.0,0.0,0.0,26.0,0.0,33.0,0.0,39.56043956043956,0.0,0.0,0.0,35.0,0.0,0.0,0.0,41.0,30.0,0.0,0.0,34.24657534246575,16.282245778729287
2020-10-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,29.0,0.0,28.0,25.0,0.0,0.0,7.909066285596869
2020-10-20,35.0,32.0,0.0,48.0,23.0,90.0,45.0,37.362637362637365,28.0,40.0,0.0,49.0,67.0,28.0,56.0,76.0,56.0,24.0,0.0,0.0,50.07002393592098
2020-10-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.26373626373626,0.0,0.0,0.0,0.0,33.0,0.0,0.0,38.0,0.0,0.0,24.0,32.87671232876713,11.19135937987685
