date,/m/01cpyy_0,/m/01cpyy_1,/m/01cpyy_2,/m/01cpyy_3,/m/01cpyy_4,/m/01cpyy_5,/m/01cpyy_6,/m/01cpyy_7,/m/01cpyy_8,/m/01cpyy_9,/m/01cpyy_10,/m/01cpyy_11,/m/01cpyy_12,/m/01cpyy_13,/m/01cpyy_14,/m/01cpyy_15,/m/01cpyy_16,/m/01cpyy_17,/m/01cpyy_18,/m/01cpyy_19,/m/01cpyy
2020-01-29,6.0,7.0,6.0,7.0,5.0,7.0,8.0,7.0,8.0,7.0,7.0,6.0,6.0,5.0,7.0,5.0,8.0,7.0,8.0,5.0,6.6
2020-01-30,5.0,8.0,7.0,8.0,7.0,7.0,6.0,5.0,7.0,7.0,6.0,7.0,8.0,5.0,7.0,6.0,7.0,9.0,7.0,8.0,6.85
2020-01-31,6.0,7.0,9.0,6.0,7.0,8.0,5.0,7.0,7.0,6.0,6.0,7.0,5.0,8.0,6.0,6.0,8.0,8.0,6.0,7.0,6.75
2020-02-01,3.0,2.0,3.0,3.0,4.0,5.0,3.0,4.0,2.0,4.0,3.0,3.0,4.0,5.0,3.0,6.0,3.0,4.0,4.0,4.0,3.6
2020-02-02,5.0,4.0,5.0,5.0,3.0,4.0,4.0,4.0,6.0,4.0,3.0,3.0,7.0,3.0,3.0,4.0,4.0,4.0,3.0,5.0,4.15
2020-02-03,4.0,4.0,4.0,3.0,4.0,3.0,5.0,4.0,5.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,7.0,4.0,3.95
2020-02-04,3.0,4.0,3.0,2.0,2.0,3.0,3.0,1.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,4.0,2.0,3.0,2.0,3.0,2.8
2020-02-05,4.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,2.0,2.0,4.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,2.35
2020-02-06,3.0,5.0,4.0,3.0,2.0,2.0,3.0,2.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,2.0,4.0,3.0,3.2
2020-02-07,4.0,3.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,2.0,5.0,3.0,2.0,3.0,2.0,4.0,2.0,3.0,5.0,3.2
