date,/m/011wfk_0,/m/011wfk,batch_id
2021-02-01,39.0,39.0,1
2021-02-02,19.0,19.0,1
2021-02-03,39.0,39.0,1
2021-02-04,20.0,20.0,1
2021-02-05,100.0,100.0,1
2021-02-06,0.0,0.0,1
2021-02-07,21.0,21.0,1
2021-02-08,39.0,39.0,1
2021-02-09,20.0,20.0,1
2021-02-10,0.0,0.0,1
2021-02-11,0.0,0.0,1
2021-02-12,0.0,0.0,1
2021-02-13,0.0,0.0,1
2021-02-14,23.0,23.0,1
2021-02-15,58.0,58.0,1
2021-02-16,20.0,20.0,1
2021-02-17,0.0,0.0,1
2021-02-18,20.0,20.0,1
2021-02-19,21.0,21.0,1
2021-02-20,0.0,0.0,1
2021-02-21,0.0,0.0,1
2021-02-22,19.0,19.0,1
2021-02-23,41.0,41.0,1
2021-02-24,41.0,41.0,1
2021-02-25,0.0,0.0,1
2021-02-26,20.0,20.0,1
2021-02-27,0.0,0.0,1
2021-02-28,0.0,0.0,1
2021-03-01,0.0,0.0,1
2021-03-02,0.0,0.0,1
2021-03-03,20.0,20.0,1
2021-03-04,0.0,0.0,1
2021-03-05,41.0,41.0,1
2021-03-06,0.0,0.0,1
2021-03-07,44.0,44.0,1
2021-03-08,20.0,20.0,1
2021-03-09,0.0,0.0,1
2021-03-10,40.0,40.0,1
2021-03-11,20.0,20.0,1
2021-03-12,41.0,41.0,1
2021-03-13,0.0,0.0,1
2021-03-14,42.0,42.0,1
2021-03-15,31.0,31.0,1
2021-03-16,34.0,34.0,1
2021-03-17,20.0,20.0,1
2021-03-18,0.0,0.0,1
2021-03-19,21.0,21.0,1
2021-03-20,0.0,0.0,1
2021-03-21,0.0,0.0,1
2021-03-22,20.0,20.0,1
2021-03-23,0.0,0.0,1
2021-03-24,39.0,39.0,1
2021-03-25,0.0,0.0,1
2021-03-26,42.0,42.0,1
2021-03-27,0.0,0.0,1
2021-03-28,23.0,23.0,1
2021-03-29,41.0,41.0,1
2021-03-30,0.0,0.0,1
2021-03-31,0.0,0.0,1
2021-04-01,21.0,21.0,1
2021-04-02,0.0,0.0,1
2021-04-03,0.0,0.0,1
2021-04-04,0.0,0.0,1
2021-04-05,0.0,0.0,1
2021-04-06,19.0,19.0,1
2021-04-07,0.0,0.0,1
2021-04-08,40.0,40.0,1
2021-04-09,62.0,62.0,1
2021-04-10,0.0,0.0,1
2021-04-11,0.0,0.0,1
2021-04-12,77.0,77.0,1
2021-04-13,20.0,20.0,1
2021-04-14,40.0,40.0,1
2021-04-15,61.0,61.0,1
2021-04-16,21.0,21.0,1
2021-04-17,0.0,0.0,1
2021-04-18,0.0,0.0,1
2021-04-19,0.0,0.0,1
2021-04-20,20.0,20.0,1
2021-04-21,41.0,41.0,1
2021-04-22,21.0,21.0,1
2021-04-23,0.0,0.0,1
2021-04-24,0.0,0.0,1
2021-04-25,23.0,23.0,1
2021-04-26,20.0,20.0,1
2021-04-27,41.0,41.0,1
2021-04-28,20.0,20.0,1
2021-04-29,19.0,19.0,1
2021-04-30,20.0,20.0,1
2021-05-01,0.0,0.0,1
2021-05-02,0.0,0.0,1
2021-05-03,0.0,0.0,1
2021-05-04,0.0,0.0,1
2021-05-05,38.0,38.0,1
2021-05-06,0.0,0.0,1
2021-05-07,0.0,0.0,1
2021-05-08,0.0,0.0,1
2021-05-09,0.0,0.0,1
2021-05-10,20.0,20.0,1
2021-05-11,57.0,57.0,1
2021-05-12,0.0,0.0,1
2021-05-13,0.0,0.0,1
2021-05-14,21.0,21.0,1
