date,/m/01n0y9_0,/m/01n0y9,batch_id
2021-02-01,0.0,0.0,1
2021-02-02,0.0,0.0,1
2021-02-03,49.0,49.0,1
2021-02-04,26.0,26.0,1
2021-02-05,25.0,25.0,1
2021-02-06,0.0,0.0,1
2021-02-07,27.0,27.0,1
2021-02-08,74.0,74.0,1
2021-02-09,25.0,25.0,1
2021-02-10,0.0,0.0,1
2021-02-11,0.0,0.0,1
2021-02-12,26.0,26.0,1
2021-02-13,0.0,0.0,1
2021-02-14,0.0,0.0,1
2021-02-15,49.0,49.0,1
2021-02-16,0.0,0.0,1
2021-02-17,0.0,0.0,1
2021-02-18,25.0,25.0,1
2021-02-19,0.0,0.0,1
2021-02-20,61.0,61.0,1
2021-02-21,0.0,0.0,1
2021-02-22,48.0,48.0,1
2021-02-23,26.0,26.0,1
2021-02-24,26.0,26.0,1
2021-02-25,0.0,0.0,1
2021-02-26,26.0,26.0,1
2021-02-27,29.0,29.0,1
2021-02-28,0.0,0.0,1
2021-03-01,50.0,50.0,1
2021-03-02,52.0,52.0,1
2021-03-03,52.0,52.0,1
2021-03-04,25.0,25.0,1
2021-03-05,53.0,53.0,1
2021-03-06,58.0,58.0,1
2021-03-07,0.0,0.0,1
2021-03-08,25.0,25.0,1
2021-03-09,25.0,25.0,1
2021-03-10,0.0,0.0,1
2021-03-11,25.0,25.0,1
2021-03-12,26.0,26.0,1
2021-03-13,0.0,0.0,1
2021-03-14,53.0,53.0,1
2021-03-15,39.0,39.0,1
2021-03-16,0.0,0.0,1
2021-03-17,0.0,0.0,1
2021-03-18,25.0,25.0,1
2021-03-19,0.0,0.0,1
2021-03-20,0.0,0.0,1
2021-03-21,0.0,0.0,1
2021-03-22,100.0,100.0,1
2021-03-23,0.0,0.0,1
2021-03-24,50.0,50.0,1
2021-03-25,26.0,26.0,1
2021-03-26,0.0,0.0,1
2021-03-27,0.0,0.0,1
2021-03-28,0.0,0.0,1
2021-03-29,26.0,26.0,1
2021-03-30,0.0,0.0,1
2021-03-31,28.0,28.0,1
2021-04-01,0.0,0.0,1
2021-04-02,0.0,0.0,1
2021-04-03,0.0,0.0,1
2021-04-04,0.0,0.0,1
2021-04-05,0.0,0.0,1
2021-04-06,24.0,24.0,1
2021-04-07,49.0,49.0,1
2021-04-08,26.0,26.0,1
2021-04-09,26.0,26.0,1
2021-04-10,0.0,0.0,1
2021-04-11,0.0,0.0,1
2021-04-12,24.0,24.0,1
2021-04-13,0.0,0.0,1
2021-04-14,50.0,50.0,1
2021-04-15,0.0,0.0,1
2021-04-16,27.0,27.0,1
2021-04-17,0.0,0.0,1
2021-04-18,0.0,0.0,1
2021-04-19,25.0,25.0,1
2021-04-20,25.0,25.0,1
2021-04-21,77.0,77.0,1
2021-04-22,78.0,78.0,1
2021-04-23,0.0,0.0,1
2021-04-24,0.0,0.0,1
2021-04-25,0.0,0.0,1
2021-04-26,25.0,25.0,1
2021-04-27,52.0,52.0,1
2021-04-28,0.0,0.0,1
2021-04-29,0.0,0.0,1
2021-04-30,0.0,0.0,1
2021-05-01,0.0,0.0,1
2021-05-02,28.0,28.0,1
2021-05-03,49.0,49.0,1
2021-05-04,0.0,0.0,1
2021-05-05,72.0,72.0,1
2021-05-06,50.0,50.0,1
2021-05-07,51.0,51.0,1
2021-05-08,0.0,0.0,1
2021-05-09,0.0,0.0,1
2021-05-10,25.0,25.0,1
2021-05-11,0.0,0.0,1
2021-05-12,25.0,25.0,1
2021-05-13,27.0,27.0,1
2021-05-14,27.0,27.0,1
