date,/g/11f_zvp1s3_0,/g/11f_zvp1s3,batch_id
2021-02-01,0.0,0.0,1
2021-02-02,100.0,100.0,1
2021-02-03,33.0,33.0,1
2021-02-04,0.0,0.0,1
2021-02-05,0.0,0.0,1
2021-02-06,0.0,0.0,1
2021-02-07,0.0,0.0,1
2021-02-08,67.0,67.0,1
2021-02-09,0.0,0.0,1
2021-02-10,33.0,33.0,1
2021-02-11,34.0,34.0,1
2021-02-12,35.0,35.0,1
2021-02-13,0.0,0.0,1
2021-02-14,0.0,0.0,1
2021-02-15,0.0,0.0,1
2021-02-16,70.0,70.0,1
2021-02-17,0.0,0.0,1
2021-02-18,34.0,34.0,1
2021-02-19,0.0,0.0,1
2021-02-20,0.0,0.0,1
2021-02-21,0.0,0.0,1
2021-02-22,0.0,0.0,1
2021-02-23,0.0,0.0,1
2021-02-24,0.0,0.0,1
2021-02-25,0.0,0.0,1
2021-02-26,0.0,0.0,1
2021-02-27,0.0,0.0,1
2021-02-28,0.0,0.0,1
2021-03-01,34.0,34.0,1
2021-03-02,0.0,0.0,1
2021-03-03,0.0,0.0,1
2021-03-04,33.0,33.0,1
2021-03-05,71.0,71.0,1
2021-03-06,0.0,0.0,1
2021-03-07,0.0,0.0,1
2021-03-08,34.0,34.0,1
2021-03-09,0.0,0.0,1
2021-03-10,34.0,34.0,1
2021-03-11,68.0,68.0,1
2021-03-12,0.0,0.0,1
2021-03-13,0.0,0.0,1
2021-03-14,0.0,0.0,1
2021-03-15,0.0,0.0,1
2021-03-16,29.0,29.0,1
2021-03-17,0.0,0.0,1
2021-03-18,0.0,0.0,1
2021-03-19,0.0,0.0,1
2021-03-20,0.0,0.0,1
2021-03-21,37.0,37.0,1
2021-03-22,34.0,34.0,1
2021-03-23,0.0,0.0,1
2021-03-24,0.0,0.0,1
2021-03-25,35.0,35.0,1
2021-03-26,0.0,0.0,1
2021-03-27,0.0,0.0,1
2021-03-28,0.0,0.0,1
2021-03-29,0.0,0.0,1
2021-03-30,0.0,0.0,1
2021-03-31,38.0,38.0,1
2021-04-01,0.0,0.0,1
2021-04-02,0.0,0.0,1
2021-04-03,0.0,0.0,1
2021-04-04,0.0,0.0,1
2021-04-05,0.0,0.0,1
2021-04-06,0.0,0.0,1
2021-04-07,0.0,0.0,1
2021-04-08,0.0,0.0,1
2021-04-09,0.0,0.0,1
2021-04-10,0.0,0.0,1
2021-04-11,0.0,0.0,1
2021-04-12,0.0,0.0,1
2021-04-13,0.0,0.0,1
2021-04-14,0.0,0.0,1
2021-04-15,35.0,35.0,1
2021-04-16,0.0,0.0,1
2021-04-17,0.0,0.0,1
2021-04-18,0.0,0.0,1
2021-04-19,67.0,67.0,1
2021-04-20,0.0,0.0,1
2021-04-21,35.0,35.0,1
2021-04-22,0.0,0.0,1
2021-04-23,0.0,0.0,1
2021-04-24,0.0,0.0,1
2021-04-25,39.0,39.0,1
2021-04-26,0.0,0.0,1
2021-04-27,0.0,0.0,1
2021-04-28,0.0,0.0,1
2021-04-29,0.0,0.0,1
2021-04-30,0.0,0.0,1
2021-05-01,0.0,0.0,1
2021-05-02,0.0,0.0,1
2021-05-03,33.0,33.0,1
2021-05-04,0.0,0.0,1
2021-05-05,0.0,0.0,1
2021-05-06,0.0,0.0,1
2021-05-07,0.0,0.0,1
2021-05-08,0.0,0.0,1
2021-05-09,0.0,0.0,1
2021-05-10,34.0,34.0,1
2021-05-11,33.0,33.0,1
2021-05-12,0.0,0.0,1
2021-05-13,36.0,36.0,1
2021-05-14,0.0,0.0,1
