date,/m/01c751_0,/m/01c751_1,/m/01c751_2,/m/01c751_3,/m/01c751_4,/m/01c751_5,/m/01c751_6,/m/01c751_7,/m/01c751_8,/m/01c751_9,/m/01c751_10,/m/01c751_11,/m/01c751_12,/m/01c751_13,/m/01c751_14,/m/01c751_15,/m/01c751_16,/m/01c751_17,/m/01c751_18,/m/01c751_19,/m/01c751
2020-11-18,30.0,0.0,0.0,0.0,0.0,0.0,30.0,31.0,0.0,0.0,60.0,0.0,16.0,28.421052631578952,0.0,23.0,20.0,0.0,24.0,0.0,26.637391605499502
2020-11-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,28.421052631578952,24.0,0.0,0.0,0.0,0.0,0.0,8.467762874993321
2020-11-20,30.0,27.0,0.0,58.0,0.0,23.0,0.0,31.0,21.0,31.0,0.0,23.0,0.0,29.47368421052632,25.0,24.0,0.0,0.0,0.0,0.0,32.73311238806566
2020-11-21,31.0,0.0,0.0,0.0,46.0,24.0,31.0,0.0,0.0,31.0,0.0,0.0,0.0,29.47368421052632,0.0,24.0,0.0,0.0,26.0,0.0,24.61260792750425
2020-11-22,31.0,57.0,22.0,30.0,48.0,0.0,0.0,64.0,22.0,0.0,32.30769230769231,24.0,0.0,30.52631578947368,0.0,48.0,0.0,0.0,25.0,47.72727272727273,48.88150661210656
2020-11-23,0.0,27.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,61.53846153846154,0.0,32.0,29.47368421052632,25.0,47.0,20.0,0.0,25.0,0.0,30.04709937418765
2020-11-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,29.23076923076923,0.0,0.0,0.0,0.0,23.0,19.0,19.0,0.0,0.0,12.204181222939901
2020-11-25,0.0,26.0,0.0,28.0,0.0,0.0,0.0,29.0,20.0,0.0,0.0,22.0,15.0,27.36842105263158,24.0,45.0,0.0,0.0,47.0,21.59090909090909,30.95529500900555
2020-11-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,29.47368421052632,0.0,0.0,0.0,0.0,0.0,0.0,4.615865693371753
2020-11-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.23076923076923,22.0,0.0,28.421052631578952,0.0,0.0,0.0,0.0,24.0,22.72727272727273,12.828275016709124
2020-11-28,29.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,21.0,0.0,30.76923076923077,0.0,0.0,0.0,24.0,0.0,0.0,0.0,24.0,0.0,15.304027637211904
2020-11-29,60.0,0.0,21.0,29.0,0.0,23.0,31.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.793729622618454
2020-11-30,0.0,0.0,21.0,0.0,22.0,0.0,0.0,30.0,0.0,29.0,29.23076923076923,22.0,0.0,85.26315789473685,48.0,46.0,0.0,39.0,0.0,0.0,37.70897615367689
2020-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,29.23076923076923,0.0,0.0,28.421052631578952,0.0,0.0,20.0,19.0,0.0,0.0,12.855958554642855
2020-12-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-03,0.0,0.0,0.0,0.0,0.0,23.0,0.0,30.0,21.0,30.0,0.0,22.0,16.0,28.421052631578952,0.0,0.0,0.0,0.0,24.0,0.0,19.734962814022293
2020-12-04,0.0,0.0,20.0,27.0,21.0,0.0,0.0,0.0,20.0,0.0,0.0,22.0,0.0,27.36842105263158,0.0,0.0,0.0,19.0,0.0,21.59090909090909,18.063994177864302
2020-12-05,57.0,26.0,20.0,27.0,22.0,22.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.793729622618454
2020-12-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,60.0,67.0,0.0,28.421052631578952,0.0,23.0,20.0,20.0,25.0,22.72727272727273,30.16242876906139
2020-12-07,57.0,0.0,0.0,28.0,21.0,0.0,29.0,30.0,20.0,29.0,0.0,22.0,0.0,0.0,0.0,22.0,0.0,19.0,23.0,0.0,30.451891727105323
2020-12-08,0.0,0.0,21.0,28.0,0.0,0.0,30.0,0.0,21.0,0.0,0.0,0.0,15.0,28.421052631578952,0.0,23.0,39.0,19.0,0.0,44.31818181818182,27.278726900964287
2020-12-09,58.0,27.0,21.0,0.0,0.0,0.0,30.0,31.0,0.0,29.0,29.23076923076923,22.0,0.0,28.421052631578952,0.0,22.0,0.0,0.0,0.0,0.0,30.21353683909289
2020-12-10,29.0,0.0,21.0,0.0,45.0,45.0,30.0,30.0,62.0,30.0,29.23076923076923,0.0,15.0,0.0,24.0,23.0,0.0,19.0,24.0,22.72727272727273,45.57207227906501
2020-12-11,30.0,0.0,0.0,0.0,22.0,23.0,61.0,0.0,42.0,0.0,30.76923076923077,45.0,16.0,0.0,25.0,23.0,0.0,0.0,0.0,22.72727272727273,34.56254219311154
2020-12-12,0.0,0.0,21.0,57.0,0.0,23.0,61.0,0.0,21.0,30.0,30.76923076923077,23.0,0.0,0.0,25.0,23.0,0.0,20.0,0.0,22.72727272727273,36.28814939098084
2020-12-13,0.0,0.0,44.0,30.0,23.0,24.0,32.0,0.0,44.0,62.0,0.0,0.0,16.0,0.0,0.0,0.0,21.0,0.0,0.0,23.863636363636363,32.46817607327881
2020-12-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,5.176821593607903
2020-12-15,30.0,0.0,0.0,29.0,46.0,0.0,31.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.16962873050617
2020-12-16,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.425023377832472
2020-12-17,0.0,29.0,22.0,30.0,0.0,24.0,0.0,33.0,0.0,32.0,32.30769230769231,25.0,17.0,30.52631578947368,26.0,0.0,0.0,21.0,26.0,0.0,35.30734517859992
2020-12-18,34.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,63.157894736842096,27.0,26.0,0.0,0.0,0.0,25.0,23.565490247063433
2020-12-19,33.0,30.0,47.0,63.0,49.0,25.0,34.0,0.0,23.0,33.0,33.846153846153854,0.0,17.0,31.578947368421048,27.0,0.0,22.0,22.0,27.0,0.0,52.521910530242494
2020-12-20,68.0,0.0,0.0,33.0,52.0,26.0,34.0,35.0,0.0,35.0,70.76923076923076,26.0,36.0,100.0,28.0,27.0,69.0,23.0,28.0,26.13636363636364,72.77043846465081
2020-12-21,31.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,22.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.861174716000898
2020-12-22,0.0,30.0,47.0,63.0,25.0,75.0,100.0,34.0,47.0,99.0,33.846153846153854,25.0,0.0,0.0,27.0,25.0,0.0,0.0,0.0,25.0,66.57252022187177
2020-12-23,65.0,0.0,23.0,0.0,25.0,25.0,0.0,67.0,0.0,0.0,100.0,76.0,17.0,63.157894736842096,0.0,25.0,22.0,64.0,0.0,100.0,68.22826478015125
