date,/m/0lbt3_0,/m/0lbt3_1,/m/0lbt3_2,/m/0lbt3_3,/m/0lbt3_4,/m/0lbt3_5,/m/0lbt3_6,/m/0lbt3_7,/m/0lbt3_8,/m/0lbt3_9,/m/0lbt3_10,/m/0lbt3_11,/m/0lbt3_12,/m/0lbt3_13,/m/0lbt3_14,/m/0lbt3_15,/m/0lbt3_16,/m/0lbt3_17,/m/0lbt3_18,/m/0lbt3_19,/m/0lbt3
2020-10-05,0.0,24.0,33.0,0.0,20.43010752688172,18.0,22.0,19.0,22.0,28.75,19.0,23.0,20.87912087912088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.475179267200698
2020-10-06,0.0,50.0,0.0,0.0,41.935483870967744,19.0,23.0,0.0,0.0,0.0,20.0,0.0,0.0,69.0,23.0,22.0,40.0,23.529411764705888,0.0,0.0,28.466328157274237
2020-10-07,16.0,0.0,17.0,48.0,62.365591397849464,18.0,23.0,19.0,0.0,60.0,19.0,23.0,42.857142857142854,22.0,23.0,44.0,0.0,23.529411764705888,21.978021978021975,36.0,44.5487391929774
2020-10-08,17.0,26.0,18.0,0.0,44.08602150537634,57.0,74.0,20.0,48.0,32.5,42.0,73.0,23.07692307692308,24.0,24.0,69.0,0.0,24.705882352941174,0.0,19.0,54.565710476685496
2020-10-09,36.0,55.0,19.0,0.0,23.655913978494624,0.0,26.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,45.0,0.0,24.17582417582417,41.0,29.27075606636521
2020-10-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-11,18.0,0.0,19.0,18.0,0.0,42.0,0.0,0.0,0.0,35.0,22.0,26.0,24.17582417582417,0.0,26.0,0.0,45.0,0.0,24.17582417582417,20.0,27.426037988458656
2020-10-12,51.0,53.0,54.0,17.0,66.66666666666667,39.0,73.0,41.0,25.0,97.5,41.0,25.0,47.25274725274726,48.0,0.0,24.0,43.0,49.411764705882355,70.32967032967035,100.0,82.88837162745551
2020-10-13,0.0,27.0,18.0,0.0,22.580645161290327,20.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,24.0,25.0,0.0,0.0,24.705882352941174,0.0,0.0,15.654834581860467
2020-10-14,0.0,26.0,0.0,17.0,22.580645161290327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,7.693219026440957
2020-10-15,51.0,26.0,54.0,70.0,22.580645161290327,40.0,74.0,0.0,24.0,97.5,63.0,74.0,46.153846153846146,49.0,74.0,71.0,64.0,100.0,69.23076923076923,20.0,93.56368059179864
2020-10-16,18.0,0.0,0.0,18.0,23.655913978494624,0.0,25.0,21.0,26.0,33.75,0.0,0.0,0.0,100.0,25.0,24.0,0.0,25.882352941176467,24.17582417582417,20.0,33.01791871752791
2020-10-17,20.0,60.0,20.0,0.0,49.46236559139785,43.0,0.0,0.0,28.0,36.25,48.0,28.0,0.0,27.0,84.0,27.0,0.0,55.29411764705882,26.37362637362637,45.0,51.303225345277966
2020-10-18,0.0,0.0,20.0,19.0,24.731182795698924,44.0,27.0,0.0,55.0,36.25,47.0,55.0,26.37362637362637,0.0,28.0,26.0,72.0,28.235294117647058,0.0,22.0,45.56727483374392
2020-10-19,36.0,55.0,55.0,18.0,22.580645161290327,0.0,26.0,0.0,25.0,68.75,43.0,26.0,48.35164835164835,25.0,51.0,49.0,22.0,50.58823529411765,73.62637362637362,0.0,59.67800367579701
2020-10-20,51.0,54.0,0.0,53.0,67.74193548387096,39.0,50.0,40.0,98.0,0.0,42.0,50.0,0.0,73.0,50.0,47.0,64.0,24.705882352941174,47.25274725274726,80.0,79.92890966988004
2020-10-21,53.0,27.0,72.0,18.0,67.74193548387096,20.0,25.0,41.0,25.0,33.75,0.0,100.0,24.17582417582417,25.0,25.0,96.0,44.0,0.0,24.17582417582417,41.0,65.42740950104319
2020-10-22,35.0,53.0,54.0,52.0,22.580645161290327,40.0,100.0,20.0,24.0,0.0,64.0,50.0,47.25274725274726,24.0,25.0,23.0,64.0,50.58823529411765,47.25274725274726,20.0,70.05041780544333
2020-10-23,0.0,27.0,0.0,52.0,22.580645161290327,39.0,49.0,41.0,50.0,32.5,41.0,49.0,0.0,49.0,24.0,47.0,21.0,24.705882352941174,70.32967032967035,40.0,58.32275091354894
