date,/g/11j2cc_qll_0,/g/11j2cc_qll_1,/g/11j2cc_qll_2,/g/11j2cc_qll_3,/g/11j2cc_qll_4,/g/11j2cc_qll_5,/g/11j2cc_qll_6,/g/11j2cc_qll_7,/g/11j2cc_qll_8,/g/11j2cc_qll_9,/g/11j2cc_qll
2020-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-12,0.0,0.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,1.7137096774193548
2020-02-13,0.0,5.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.310483870967742
2020-02-14,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,1.411290322580645
2020-02-15,4.0,2.0,0.0,2.0,0.0,4.0,3.0,2.0,2.0,2.0,2.1169354838709675
2020-02-16,0.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,0.0,1.9153225806451613
2020-02-17,2.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,0.907258064516129
2020-02-18,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.4032258064516129
2020-02-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.4032258064516129
2020-02-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-22,4.0,2.0,0.0,4.0,3.0,0.0,2.0,0.0,0.0,2.0,1.7137096774193548
2020-02-23,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.6048387096774194
