date,/m/0hn9s_0,/m/0hn9s_1,/m/0hn9s_2,/m/0hn9s_3,/m/0hn9s_4,/m/0hn9s_5,/m/0hn9s_6,/m/0hn9s_7,/m/0hn9s_8,/m/0hn9s_9,/m/0hn9s_10,/m/0hn9s_11,/m/0hn9s_12,/m/0hn9s_13,/m/0hn9s_14,/m/0hn9s_15,/m/0hn9s_16,/m/0hn9s_17,/m/0hn9s_18,/m/0hn9s_19,/m/0hn9s
2020-10-05,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,3.779289493575208
2020-10-06,45.0,0.0,100.0,61.0,21.0,57.0,55.0,0.0,51.0,54.0,30.0,58.0,0.0,81.0,91.0,0.0,0.0,24.0,22.0,43.0,59.93953136810279
2020-10-07,0.0,20.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,26.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,8.91912320483749
2020-10-08,0.0,21.0,0.0,32.0,0.0,31.0,0.0,0.0,27.0,29.0,0.0,32.0,0.0,0.0,32.0,0.0,0.0,25.0,0.0,0.0,17.309145880574448
2020-10-09,26.0,23.0,29.0,0.0,25.0,0.0,32.0,0.0,29.0,0.0,34.0,34.0,0.0,31.0,0.0,31.0,57.0,0.0,50.0,51.0,34.164777021919875
2020-10-10,28.0,0.0,62.0,0.0,27.0,35.0,69.0,32.0,62.0,100.0,0.0,71.0,0.0,100.0,0.0,100.0,93.0,29.0,54.0,27.0,67.19576719576719
2020-10-11,26.0,0.0,58.0,0.0,25.0,0.0,32.0,0.0,0.0,31.0,34.0,0.0,0.0,0.0,0.0,0.0,29.0,28.0,0.0,26.0,21.8442932728647
2020-10-12,100.0,0.0,56.0,0.0,0.0,32.0,62.0,0.0,56.0,30.0,100.0,96.0,32.0,30.0,100.0,89.0,55.0,26.0,48.0,72.0,74.37641723356009
2020-10-13,50.0,22.0,28.0,66.0,48.0,64.0,31.0,0.0,0.0,29.0,33.0,0.0,32.0,30.0,33.0,30.0,0.0,53.0,0.0,0.0,41.49659863945577
2020-10-14,24.0,0.0,55.0,65.0,24.0,31.0,30.0,28.0,28.0,0.0,64.0,32.0,31.0,29.0,32.0,0.0,27.0,52.0,0.0,0.0,41.72335600907029
2020-10-15,26.0,22.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,67.0,30.0,28.0,0.0,0.0,24.0,19.576719576719576
2020-10-16,0.0,23.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,30.0,34.0,0.0,0.0,0.0,35.0,31.0,29.0,0.0,0.0,0.0,16.02418745275888
2020-10-17,0.0,50.0,0.0,38.0,27.0,36.0,0.0,33.0,32.0,0.0,0.0,0.0,72.0,34.0,57.0,68.0,32.0,0.0,28.0,0.0,38.32199546485261
2020-10-18,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,32.0,0.0,38.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,10.58201058201058
2020-10-19,25.0,0.0,27.0,0.0,24.0,0.0,0.0,28.0,28.0,0.0,0.0,32.0,31.0,29.0,66.0,59.0,0.0,52.0,0.0,24.0,32.123960695389265
2020-10-20,24.0,21.0,27.0,32.0,0.0,62.0,91.0,28.0,27.0,57.0,0.0,0.0,30.0,29.0,49.0,29.0,27.0,0.0,47.0,0.0,43.8397581254724
2020-10-21,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5873015873015872
2020-10-22,0.0,0.0,27.0,0.0,23.0,30.0,0.0,0.0,54.0,58.0,31.0,31.0,61.0,29.0,32.0,29.0,53.0,50.0,23.0,0.0,40.13605442176871
